0;[(68, 30, 0.005528114627334824), (67, 28, 0.00581216334015322), (66, 2, 0.006639250029109256), (65, 64, 0.008101861293422163), (64, 39, 0.008620151564259548), (63, 67, 0.008968307382266616), (62, 46, 0.00915987550834707), (61, 15, 0.010121036917849269), (60, 9, 0.010200799192013443), (59, 50, 0.010228995851379818), (58, 45, 0.010347123719056328), (57, 3, 0.01188507105422909), (56, 5, 0.012472982584672776), (55, 10, 0.013391507491740673), (54, 26, 0.014780761115517294), (53, 7, 0.01555484648747918), (52, 34, 0.015654160501099246), (51, 31, 0.016734264490246398), (50, 51, 0.01736012991339031), (49, 24, 0.018961337559209812), (48, 41, 0.019555349154239732), (47, 32, 0.01960319488014861), (46, 55, 0.019786170988624896), (45, 49, 0.020837541257522463), (44, 43, 0.021100919972795285), (43, 54, 0.021214389088482832), (42, 25, 0.022855447185325062), (41, 11, 0.023364369091809944), (40, 16, 0.023364369091809944), (39, 17, 0.023364369091809944), (38, 27, 0.023364369091809944), (37, 29, 0.023364369091809944), (36, 61, 0.023364369091809944), (35, 62, 0.025457384926079518), (34, 53, 0.025517541480813533), (33, 22, 0.026899616438366802), (32, 19, 0.026995315956875876), (31, 48, 0.02727775277036526), (30, 20, 0.02786135271135981), (29, 12, 0.027998386492936178), (28, 8, 0.030718377124753116), (27, 42, 0.03184500427095349), (26, 44, 0.032333970261069656), (25, 52, 0.033546098379657496), (24, 4, 0.03552282211557778), (23, 47, 0.03554000486096032), (22, 6, 0.03555099251797211), (21, 38, 0.03595084023380879), (20, 14, 0.03600950272329517), (19, 18, 0.03604162716458781), (18, 60, 0.036108746508902945), (17, 33, 0.03611664800183667), (16, 40, 0.036141668192473886), (15, 58, 0.03724233369584484), (14, 59, 0.03983164932806371), (13, 56, 0.039863486371061185), (12, 66, 0.03999789667626741), (11, 23, 0.044335623848975825), (10, 21, 0.04622961973128936), (9, 13, 0.04762780020579693), (8, 37, 0.04955860293039882), (7, 57, 0.05182867322248741), (6, 63, 0.05554136961917622), (5, 0, 0.05679281654715174), (4, 35, 0.0650911577870863), (3, 36, 0.06672739085586354), (2, 65, 0.08298918105906805), (1, 1, 0.09491604107693874)]
1;[(68, 28, 0.0034161102318617242), (67, 2, 0.004125379358730252), (66, 50, 0.0041575798259257946), (65, 30, 0.004588901780805843), (64, 67, 0.007148245842841794), (63, 46, 0.0077975961190408505), (62, 55, 0.008102845737560815), (61, 64, 0.008132255446489212), (60, 45, 0.00949400831855518), (59, 10, 0.009629914860287525), (58, 7, 0.009906589435497826), (57, 31, 0.009931327465318218), (56, 22, 0.010552377446288896), (55, 41, 0.010758562968725793), (54, 9, 0.011277799696635893), (53, 32, 0.011349101936506845), (52, 51, 0.011668658303661372), (51, 11, 0.012098175269016687), (50, 16, 0.012098175269016687), (49, 17, 0.012098175269016687), (48, 27, 0.012098175269016687), (47, 29, 0.012098175269016687), (46, 61, 0.012098175269016687), (45, 3, 0.012298156060115528), (44, 39, 0.012665111396215734), (43, 15, 0.013829989337529769), (42, 65, 0.014013797564620623), (41, 26, 0.014288516645956983), (40, 35, 0.014563466063730712), (39, 24, 0.014995909234231553), (38, 36, 0.015079544787023114), (37, 49, 0.015605129802046425), (36, 43, 0.01593119264451459), (35, 53, 0.016589674262366128), (34, 8, 0.016938832396268366), (33, 34, 0.017086600089389004), (32, 5, 0.02261394613626133), (31, 25, 0.024518919164109088), (30, 58, 0.025347317666623237), (29, 54, 0.02900422366680777), (28, 57, 0.03058119401190984), (27, 4, 0.032901230224298916), (26, 47, 0.032917144879386795), (25, 6, 0.03292732164495438), (24, 38, 0.03327130125562017), (23, 33, 0.033424750804078585), (22, 40, 0.0334289751813559), (21, 60, 0.033443913271724135), (20, 18, 0.03353682220852505), (19, 14, 0.03405737538765696), (18, 12, 0.03577853293472599), (17, 44, 0.035940726569666515), (16, 56, 0.03604666967902315), (15, 52, 0.03643831968173761), (14, 62, 0.03720543791654807), (13, 42, 0.038974116672266135), (12, 19, 0.03922538723576707), (11, 48, 0.039778940890796366), (10, 20, 0.04072097858409851), (9, 23, 0.044567844483593744), (8, 21, 0.0476137447269831), (7, 66, 0.04767266241023893), (6, 59, 0.05256869723347424), (5, 37, 0.05299409401898558), (4, 63, 0.05919203711716592), (3, 13, 0.06408049926448267), (2, 0, 0.07748688335966714), (1, 1, 0.08822916378292467)]
2;[(68, 28, 0.00302520358958136), (67, 46, 0.004264709522536325), (66, 22, 0.0062699863275833545), (65, 45, 0.006519820635755624), (64, 30, 0.007157735471509996), (63, 50, 0.008082678323819814), (62, 7, 0.008590202179516337), (61, 31, 0.008884777530511645), (60, 2, 0.0089479530834079), (59, 64, 0.009220352381369201), (58, 55, 0.009702187260549722), (57, 11, 0.00979387365093265), (56, 16, 0.00979387365093265), (55, 17, 0.00979387365093265), (54, 27, 0.00979387365093265), (53, 29, 0.00979387365093265), (52, 61, 0.00979387365093265), (51, 51, 0.010089914948841483), (50, 32, 0.010295620319029641), (49, 3, 0.010803843121955259), (48, 67, 0.0110542491219362), (47, 49, 0.011924828119394881), (46, 53, 0.01224987451431514), (45, 24, 0.012417503667314311), (44, 43, 0.012586189475747078), (43, 15, 0.012757847566248759), (42, 39, 0.013126718742887511), (41, 35, 0.014044810232067495), (40, 65, 0.014108533677519963), (39, 36, 0.014190759635608896), (38, 9, 0.014891302871660073), (37, 10, 0.014979261151732648), (36, 8, 0.016017663885451228), (35, 26, 0.017832029148107997), (34, 41, 0.019016855457802406), (33, 25, 0.019888042716362575), (32, 34, 0.020753049465820017), (31, 58, 0.020779067377486582), (30, 5, 0.023243911225271696), (29, 44, 0.027753742494627143), (28, 54, 0.028343064356847414), (27, 52, 0.030846173964342194), (26, 4, 0.03209112984461193), (25, 47, 0.032106652646020084), (24, 6, 0.032116578837320664), (23, 38, 0.032436356315995285), (22, 33, 0.03258595504049622), (21, 40, 0.0326085293061692), (20, 60, 0.032620450846309046), (19, 14, 0.03270491812226717), (18, 18, 0.032877986997135955), (17, 1, 0.036652868628287094), (16, 12, 0.036757412759516495), (15, 56, 0.039236124388665194), (14, 62, 0.04035874967670472), (13, 42, 0.04099245113699268), (12, 48, 0.04230596759006733), (11, 66, 0.04324601186087962), (10, 20, 0.0433156336171876), (9, 57, 0.04332267223169339), (8, 19, 0.04342478841668118), (7, 23, 0.048811720244624324), (6, 59, 0.050002280238423125), (5, 37, 0.05546655087244989), (4, 0, 0.05707475374515425), (3, 63, 0.06035416204843458), (2, 21, 0.0610268974728142), (1, 13, 0.06252321147705953)]
3;[(68, 28, 0.002956746806576649), (67, 46, 0.0031672679983061336), (66, 45, 0.005265185766161196), (65, 30, 0.00547809863164439), (64, 67, 0.006733390706754716), (63, 22, 0.0074326854644131135), (62, 3, 0.007562959675185166), (61, 64, 0.00790287310471538), (60, 7, 0.007918295299261802), (59, 50, 0.007930469966077158), (58, 55, 0.008266109110320663), (57, 2, 0.009587284322668421), (56, 39, 0.010397885214130875), (55, 51, 0.010451478089898547), (54, 11, 0.010977764836274995), (53, 16, 0.010977764836274995), (52, 17, 0.010977764836274995), (51, 27, 0.010977764836274995), (50, 29, 0.010977764836274995), (49, 61, 0.010977764836274995), (48, 43, 0.011055862380556447), (47, 10, 0.0111999383416439), (46, 32, 0.011636318684508318), (45, 15, 0.0122723928496562), (44, 35, 0.012866242387380433), (43, 65, 0.012903780086414018), (42, 31, 0.012915979576141434), (41, 36, 0.013151651566590372), (40, 9, 0.013297189199745985), (39, 53, 0.013640674566220534), (38, 49, 0.014073560854719225), (37, 24, 0.014659345734687523), (36, 34, 0.016384698164721767), (35, 26, 0.016530930621404427), (34, 58, 0.01842499187399138), (33, 41, 0.019089213089522272), (32, 8, 0.019433246066751564), (31, 25, 0.019850253806643403), (30, 5, 0.021664918339514894), (29, 52, 0.024906458807131604), (28, 44, 0.025647670740688744), (27, 54, 0.02667037684411233), (26, 12, 0.02943665094425041), (25, 4, 0.031347397510733344), (24, 47, 0.03136256056135134), (23, 6, 0.031372256706858614), (22, 62, 0.03167987097608016), (21, 38, 0.03168045817444465), (20, 33, 0.03175441171700055), (19, 40, 0.03177640992222419), (18, 60, 0.03186445116173675), (17, 14, 0.032080025251246314), (16, 18, 0.03223886748340743), (15, 19, 0.03321819104768975), (14, 48, 0.03369353808098785), (13, 20, 0.03461786561842728), (12, 56, 0.03543700486967316), (11, 66, 0.03803908028397496), (10, 42, 0.03875716794928741), (9, 23, 0.040258277407627885), (8, 21, 0.041268056412929965), (7, 57, 0.042025392546130025), (6, 59, 0.044833162308486774), (5, 37, 0.04966820133371308), (4, 63, 0.05425339339001978), (3, 13, 0.060683316442743496), (2, 0, 0.06789216465858017), (1, 1, 0.07354243709594677)]
4;[(68, 28, 0.004344403312525058), (67, 45, 0.004765280534365313), (66, 46, 0.006084299186285613), (65, 30, 0.006172279246226653), (64, 67, 0.006342680830359271), (63, 7, 0.007657022765652388), (62, 11, 0.008033103812952747), (61, 16, 0.008033103812952747), (60, 17, 0.008033103812952747), (59, 27, 0.008033103812952747), (58, 29, 0.008033103812952747), (57, 61, 0.008033103812952747), (56, 50, 0.008130584713688327), (55, 2, 0.008132015538735105), (54, 15, 0.008180015092203674), (53, 51, 0.008903735091756015), (52, 64, 0.00928342883394262), (51, 32, 0.009865202332350997), (50, 39, 0.0102941393439403), (49, 31, 0.010788456345054764), (48, 55, 0.011025204256527976), (47, 43, 0.011194266739647407), (46, 22, 0.011196024082226752), (45, 49, 0.012559088256321793), (44, 24, 0.013128446552875928), (43, 65, 0.013210539581586134), (42, 36, 0.013221898036998692), (41, 35, 0.013460348213931939), (40, 9, 0.01358829511439108), (39, 10, 0.014258603534494152), (38, 53, 0.016232954135803945), (37, 3, 0.01669211777016899), (36, 54, 0.01727151552306383), (35, 26, 0.017378942841548395), (34, 58, 0.01829541191677897), (33, 5, 0.018855391542204503), (32, 8, 0.019518413074705365), (31, 41, 0.019600734999442482), (30, 25, 0.020370517136929833), (29, 34, 0.020659293340984597), (28, 57, 0.02476167990745881), (27, 44, 0.030360984259947377), (26, 56, 0.032612042975099675), (25, 62, 0.03364726698580578), (24, 19, 0.0354640412791527), (23, 12, 0.0355668323792413), (22, 48, 0.03595453848395058), (21, 20, 0.03681212456507854), (20, 66, 0.03928731216901016), (19, 4, 0.04019323432046673), (18, 47, 0.04021267619108104), (17, 14, 0.04053068125809045), (16, 33, 0.04071510275814649), (15, 40, 0.04074330857704678), (14, 6, 0.04087357033402639), (13, 18, 0.04107163484113019), (12, 52, 0.04111020189597803), (11, 38, 0.04125277770171021), (10, 60, 0.04153980252861467), (9, 23, 0.0450102182937967), (8, 42, 0.04601095675475131), (7, 59, 0.046630593543802945), (6, 21, 0.04737256695610892), (5, 13, 0.061187019251024766), (4, 0, 0.06651718564245923), (3, 1, 0.06951708124267242), (2, 37, 0.07729513096425589), (1, 63, 0.08405019141438452)]
5;[(68, 2, 0.003925627697054734), (67, 30, 0.004294069820497626), (66, 28, 0.004825739651701966), (65, 50, 0.006891075724556384), (64, 67, 0.007203651957887303), (63, 31, 0.008590732267477752), (62, 15, 0.009545921756162978), (61, 64, 0.009964781712275439), (60, 46, 0.010372575573435738), (59, 39, 0.01062529908770915), (58, 11, 0.01258607946673962), (57, 16, 0.01258607946673962), (56, 17, 0.01258607946673962), (55, 27, 0.01258607946673962), (54, 29, 0.01258607946673962), (53, 61, 0.01258607946673962), (52, 7, 0.012865392201398818), (51, 45, 0.013970475072683897), (50, 9, 0.014420166918150623), (49, 26, 0.015669624604940702), (48, 43, 0.01611160165102976), (47, 32, 0.016212826034745276), (46, 3, 0.016725126678444613), (45, 55, 0.017889034052143482), (44, 51, 0.0189321651778519), (43, 53, 0.020064288638296235), (42, 5, 0.021441011130038823), (41, 22, 0.021803476268764443), (40, 41, 0.022551966303422266), (39, 58, 0.022646361677814086), (38, 10, 0.022802701663270364), (37, 24, 0.022901029517373828), (36, 49, 0.022998493069897652), (35, 54, 0.025354800366302), (34, 25, 0.026273505189689184), (33, 8, 0.02854244628883118), (32, 12, 0.03344019908214513), (31, 65, 0.03372844379866369), (30, 35, 0.03517205829950387), (29, 62, 0.03667924808942313), (28, 66, 0.03731087066920158), (27, 56, 0.037544859381978046), (26, 44, 0.03792200636395526), (25, 48, 0.03855490456918731), (24, 36, 0.03886306412462803), (23, 19, 0.03934179151277828), (22, 20, 0.039587992395375915), (21, 52, 0.04115421582239298), (20, 4, 0.04268427140870967), (19, 47, 0.04270491821895095), (18, 6, 0.042718121002573106), (17, 14, 0.04283465319531499), (16, 38, 0.043244010752317874), (15, 33, 0.04337657057816613), (14, 60, 0.04338831895730555), (13, 40, 0.04340662015710273), (12, 18, 0.0435799594911207), (11, 59, 0.043767476621872636), (10, 42, 0.044743305513291975), (9, 57, 0.052902968797764016), (8, 0, 0.05507759333617279), (7, 21, 0.05687257370336263), (6, 13, 0.06021489365124666), (5, 1, 0.06496093373005574), (4, 34, 0.06996134363143558), (3, 37, 0.0755529856050281), (2, 63, 0.09756238582191323), (1, 23, 0.11476844713400802)]
6;[(68, 28, 0.0034634559838488954), (67, 43, 0.004607170017599693), (66, 9, 0.005209332174944126), (65, 64, 0.005765149846779671), (64, 46, 0.007119840674968181), (63, 50, 0.00769540761598364), (62, 39, 0.0076987308571891955), (61, 30, 0.008201510630389985), (60, 34, 0.008564544168536248), (59, 15, 0.00906097378019488), (58, 2, 0.009142115325121991), (57, 22, 0.010459143070596255), (56, 41, 0.010772152688597547), (55, 67, 0.01105946267022162), (54, 45, 0.013025933397482703), (53, 26, 0.014987219461264245), (52, 31, 0.015071130536007282), (51, 5, 0.01771621724789607), (50, 56, 0.017848557315061298), (49, 10, 0.01824731159084725), (48, 3, 0.018647539106352973), (47, 52, 0.018671076712639012), (46, 54, 0.019541641412506472), (45, 7, 0.019578252069383684), (44, 62, 0.022862599380284676), (43, 8, 0.023336289956143674), (42, 19, 0.024094383352800897), (41, 48, 0.024116009745989597), (40, 51, 0.02448146828605635), (39, 32, 0.024574364799699655), (38, 20, 0.025156217748206977), (37, 65, 0.025853184945275665), (36, 53, 0.025982649550897685), (35, 25, 0.02606382646958838), (34, 55, 0.026702015998288586), (33, 35, 0.027050925596676767), (32, 24, 0.027886975268774483), (31, 36, 0.02804862053641921), (30, 11, 0.02826160703550773), (29, 16, 0.02826160703550773), (28, 17, 0.02826160703550773), (27, 27, 0.02826160703550773), (26, 29, 0.02826160703550773), (25, 61, 0.02826160703550773), (24, 42, 0.028662470207368007), (23, 49, 0.030481311772561526), (22, 66, 0.031001853584702088), (21, 21, 0.0314830477236796), (20, 13, 0.03274951787931757), (19, 14, 0.0343712898241707), (18, 12, 0.034383665394951524), (17, 59, 0.0345012113542108), (16, 4, 0.034900987273674744), (15, 47, 0.0349178692313068), (14, 6, 0.03492866454695731), (13, 58, 0.035044577239879304), (12, 38, 0.03521227051520115), (11, 33, 0.03537467194847366), (10, 40, 0.03537863319973811), (9, 18, 0.03541071052578881), (8, 44, 0.03575282383113976), (7, 60, 0.036172862129356886), (6, 37, 0.03978076116398921), (5, 57, 0.04995729369116142), (4, 63, 0.05677340888612492), (3, 23, 0.05971677002760001), (2, 0, 0.0790985079120281), (1, 1, 0.096685865697554)]
7;[(68, 28, 0.00548550069499798), (67, 30, 0.006422093605220502), (66, 64, 0.00653488906392774), (65, 15, 0.007837615543778376), (64, 50, 0.007842752949963394), (63, 43, 0.008133473988818474), (62, 46, 0.008214161188724867), (61, 9, 0.008254293639560983), (60, 2, 0.009145168980047802), (59, 10, 0.009180426213244663), (58, 31, 0.010451348084778878), (57, 3, 0.011034517841087554), (56, 39, 0.011102563774838203), (55, 7, 0.011282873971675933), (54, 45, 0.011707473789164258), (53, 26, 0.012887171751120863), (52, 34, 0.01422327389424316), (51, 41, 0.015043562871735805), (50, 32, 0.01564651966163022), (49, 51, 0.016213209803492168), (48, 22, 0.017643330856909056), (47, 55, 0.01768901456850802), (46, 65, 0.01811648384616238), (45, 24, 0.01864238962494702), (44, 35, 0.018933325809262658), (43, 8, 0.01917837340081241), (42, 5, 0.01972851044069257), (41, 36, 0.019937226947884912), (40, 67, 0.02013575829144021), (39, 56, 0.020207639987503523), (38, 54, 0.020405451779994643), (37, 49, 0.021256716482170757), (36, 53, 0.022731835619594354), (35, 58, 0.022779631776760234), (34, 25, 0.023033107137857334), (33, 11, 0.02352813650163954), (32, 16, 0.02352813650163954), (31, 17, 0.02352813650163954), (30, 27, 0.02352813650163954), (29, 29, 0.02352813650163954), (28, 61, 0.02352813650163954), (27, 52, 0.024722751649224994), (26, 44, 0.032145442293855186), (25, 42, 0.03782132792007453), (24, 62, 0.03875926848611855), (23, 19, 0.04079349758444062), (22, 48, 0.041060957376368945), (21, 37, 0.041682621226854066), (20, 20, 0.04243176105710689), (19, 14, 0.042935676221683816), (18, 4, 0.04354076820460473), (17, 47, 0.04356182931093755), (16, 6, 0.043575297019823656), (15, 38, 0.04390361446496338), (14, 33, 0.0441061009791992), (13, 40, 0.04413665594805205), (12, 60, 0.04425894307573952), (11, 18, 0.044321224712612683), (10, 63, 0.045547614851549456), (9, 21, 0.0456371568484466), (8, 12, 0.04686954233476892), (7, 66, 0.047951832825661955), (6, 23, 0.05093579543049409), (5, 57, 0.05113585047056335), (4, 13, 0.05133128225789674), (3, 59, 0.05194781659147418), (2, 0, 0.0744815583775944), (1, 1, 0.08348614008310962)]
8;[(68, 28, 0.003679362032851241), (67, 43, 0.00472458318059743), (66, 50, 0.005176874240774509), (65, 9, 0.005472937718313919), (64, 64, 0.005680967754572719), (63, 22, 0.0059902076079279), (62, 46, 0.006109892384525306), (61, 5, 0.006507410857533147), (60, 15, 0.006790084014401843), (59, 67, 0.0069726137250781806), (58, 30, 0.007635595973094156), (57, 2, 0.008859493204067093), (56, 55, 0.009258394541025172), (55, 39, 0.00937079871044566), (54, 45, 0.00993569780453174), (53, 8, 0.013245956132845738), (52, 7, 0.013388023809917549), (51, 26, 0.013778616084346385), (50, 41, 0.015477604528756905), (49, 31, 0.01628800003443287), (48, 10, 0.016355302256574333), (47, 34, 0.016422130615576958), (46, 3, 0.017032948993230712), (45, 54, 0.019890256199637912), (44, 11, 0.02170254265443805), (43, 16, 0.02170254265443805), (42, 17, 0.02170254265443805), (41, 27, 0.02170254265443805), (40, 29, 0.02170254265443805), (39, 61, 0.02170254265443805), (38, 25, 0.022595151503078226), (37, 53, 0.023419993374681813), (36, 51, 0.02396500009232727), (35, 56, 0.024608644774002153), (34, 32, 0.02610669776697161), (33, 52, 0.026778863031974742), (32, 65, 0.02710242021584386), (31, 35, 0.027387798367549232), (30, 36, 0.02858863795151545), (29, 58, 0.028611888104388306), (28, 62, 0.029139467753322323), (27, 14, 0.029742663394814572), (26, 48, 0.029941523970788864), (25, 4, 0.029947547746191683), (24, 47, 0.029962033675436817), (23, 6, 0.029971296829752414), (22, 38, 0.030197115132223007), (21, 21, 0.030224858827500478), (20, 33, 0.030336386321112907), (19, 40, 0.030357402174216452), (18, 18, 0.030678883488959863), (17, 20, 0.0308847279865333), (16, 60, 0.03104953309641001), (15, 66, 0.031071302919184363), (14, 19, 0.031168508821831753), (13, 63, 0.03130835839722268), (12, 42, 0.03258542770821282), (11, 24, 0.032981309426825534), (10, 12, 0.0331885535905746), (9, 49, 0.034632804224907), (8, 13, 0.03492168768920756), (7, 59, 0.036465547219423855), (6, 37, 0.041546698918789704), (5, 57, 0.04705172948924252), (4, 23, 0.05052922923860925), (3, 44, 0.053638761865875906), (2, 1, 0.06101579705622717), (1, 0, 0.06610989330580086)]
9;[(68, 28, 0.004494959251986619), (67, 50, 0.005328928534508837), (66, 64, 0.0056013160535624), (65, 30, 0.005627921864211127), (64, 46, 0.005903851946506999), (63, 2, 0.0059476971201019024), (62, 9, 0.007307724528395898), (61, 3, 0.007436816333828533), (60, 43, 0.007813989306089009), (59, 45, 0.008795911278547175), (58, 31, 0.009268618668223816), (57, 67, 0.00931225768714028), (56, 15, 0.009470582019734164), (55, 7, 0.009859604726177973), (54, 39, 0.010552559244724424), (53, 8, 0.01134151804796013), (52, 26, 0.011363451078606146), (51, 22, 0.01156985384110687), (50, 41, 0.011570918740544833), (49, 56, 0.013100749521860133), (48, 10, 0.013298168685276779), (47, 32, 0.01347864274754329), (46, 11, 0.013565594882066212), (45, 16, 0.013565594882066212), (44, 17, 0.013565594882066212), (43, 27, 0.013565594882066212), (42, 29, 0.013565594882066212), (41, 61, 0.013565594882066212), (40, 65, 0.014277581503729375), (39, 34, 0.01463220642844254), (38, 36, 0.0146771707114004), (37, 35, 0.01495226155670748), (36, 24, 0.015795306510980156), (35, 51, 0.016697959468393253), (34, 54, 0.016775344586172136), (33, 5, 0.017371189650064567), (32, 53, 0.017509792736544183), (31, 49, 0.018023862532293933), (30, 25, 0.020241908378355933), (29, 58, 0.020918914522033316), (28, 55, 0.021469459385146217), (27, 44, 0.022513747552368013), (26, 62, 0.02267953246784027), (25, 19, 0.023669369469135004), (24, 48, 0.023878110152980248), (23, 12, 0.024854313909889125), (22, 20, 0.02487293964934323), (21, 66, 0.026325760322380876), (20, 52, 0.027386732443187234), (19, 59, 0.031351926823029785), (18, 23, 0.0324438524817785), (17, 21, 0.035785806176551804), (16, 13, 0.03892480581749069), (15, 42, 0.039572954102507496), (14, 14, 0.04678991007933209), (13, 4, 0.047585523101387306), (12, 47, 0.04760854069623621), (11, 33, 0.04820337292156096), (10, 40, 0.048236766318971336), (9, 6, 0.048293709338630086), (8, 38, 0.0486575775931406), (7, 18, 0.04880412700666881), (6, 60, 0.048983653823966855), (5, 37, 0.05385739212178986), (4, 0, 0.05748688344651465), (3, 57, 0.06212568598168333), (2, 63, 0.06458785486121255), (1, 1, 0.08358552805727837)]
