"ID_FAMILIA";"NU_CODIGO_FAMILIA_CBO";"TE_COND_GERAL_EXERC";"TE_DESCRICAO_SUMARIA";"TE_FORMACAO_EXPER";"TE_GLOSSARIO";"TE_NOTAS";"NM_TITULO_FAMILIA"
2;"0101";"O trabalho do oficial general é exercido em organizações militares e em instituições civis da administração federal responsáveis pelo desenvolvimento das políticas públicas do governo. O acesso ao primeiro posto de ";"As funções deste grupo consistem em manter, cumprir e defender a constituição federal dentro da sua esfera de atribuições; observar as leis; promover as condições de segurança necessárias para o desenvolvimento e o bem-estar geral; e defender a integridade territorial e a soberania do país. Para isto, dirigem e orientam órgãos superiores das forças armadas; planejam e conduzem os diversos assuntos da área militar; e assessoram na realização das políticas públicas na esfera federal.";"Geralmente os oficiais generais contam com mais de 35 anos de experiência profissional e possuem os cursos de altos estudos militares e de política e estratégia, feitos na escola superior de guerra (esg); ou nas escolas de altos estudos milita";"";"Esta família ocupacional foi descrita por meio de entrevistas conduzidas diretamente pela divisão da classificação brasileira de ocupações - dcbo do ministério do trabalho e emprego - mte.";"Oficiais generais das forças armadas"
14;"0201";"Trabalham no comando de unidades da polícia militar e no apoio ao comando geral, como estatutários; os coronéis são responsáveis pelos comandos regionais, os tenentes-coronéis respondem pelos comandos de áreas ou batalhões ";"Comandam unidades de polícia militar e elaboram plano diretor da instituição. Planejam ações estratégicas, definem ações táticas e executam ações operacionais. Gerenciam atividades administrativas, administram recursos humanos e mantêm hierarquia e disciplina.";"Para o exercício dessas ocupações requer-se curso de formação de oficiais em academia da polícia militar. A ascensão aos postos de oficiais superiores ocorre de forma  gradual, geralmente após mais de cinco anos de oficiala";"";"Os servidores militares das polícias militares são regidos pelo artigo 42 da constituição federal de 1988 e pelas respectivas constituições estaduais.";"Oficiais superiores da polícia militar"
21;"0202";"Trabalham em corporações da polícia militar, como estatutários, no comando de batalhões; realizam trabalho em equipe, sob supervisão. Trabalham em ambiente fechado, a céu aberto ou em veículos, em horários diversos: diu";"Comandam operações de polícia ostensiva, planejam ações de policiamento ostensivo, desenvolvem policiamento comunitário. Gerenciam companhia de polícia e assessoram comando. Exercem poder disciplinar e presidem feitos de polícia judiciária militar.";"Para o exercício dessas ocupações requer-se curso de formação de oficiais em academia da polícia militar e especialização profissional. O exercício pleno da ocupação ocorre com mais de cinco anos de experiên";"";"Os servidores militares das polícias militares são regidos pelo artigo 42 da constituição federal de 1988 e pelas respectivas constituições estaduais.";"Capitães da  polícia militar"
28;"0203";"Trabalham na polícia militar, no comando de pelotões, como estatutários. Trabalham em equipe, sob supervisão. Atuam em ambiente de trabalho que pode ser fechado, a céu aberto ou em veículos, em horários diversos: diurno, noturn";"Comandam pelotão, coordenam policiamento ostensivo, reservado e velado; assessoram comando, gerenciam recursos humanos e logísticos, participam do planejamento de ações e operações, desenvolvem processos e procedimentos administrativos militares, atuam na coordenação da comunicação social;  promovem estudos técnicos e capacitação profissional.";"Para o exercício dessas ocupações requer-se curso de formação de oficiais em academia da polícia militar.";"IPM: Inquérito Policial Militar OPM: Organização Policial Militar ";"Os servidores militares das polícias militares são regidos pelo artigo 42 da constituição federal de 1988 e pelas respectivas constituições estaduais.";"Tenentes da polícia militar"
35;"0211";"Trabalham na polícia militar, como estatutários, atuando em equipe, sob supervisão ocasional. O ambiente de trabalho pode ser fechado, a céu aberto e em veículos. O horário pode ser diurno, noturno, em rodízio de turnos e hor";"Comandam o grupo e a guarda do quartel. Assessoram o comando, administram as atividades da unidade e participam na formação de policiais. Supervisionam policiamento ostensivo e organizam processos e procedimentos administrativo-militares. Atendem a ocorrências e as apresentam à autoridade competente. Prestam serviços comunitários.";"Para o exercício dessas ocupações requer-se escolaridade de nível médio e cursos profissionalizantes de nível técnico realizados em escolas da polícia militar. O exercício pleno das atividades ocorre, em média, ap";"";"Os servidores militares das polícias militares são regidos pelo artigo 42 da constituição federal de 1988 e pelas respectivas constituições estaduais.";"Subtenentes e sargentos da polícia militar"
42;"0212";"Trabalham em corporações da polícia militar, como estatutários; atuam de forma individual ou em equipe com supervisão permanente; o ambiente de trabalho pode ser fechado, a céu aberto ou em veículos. O horário pode ser diur";"Realizam policiamento ostensivo preventivo fardado e atendem e solucionam ocorrências. Executam atividades operacionais e policiamento reservado. Restabelecem ordem pública, controlam distúrbios civis e garantem cumprimento de mandado judicial.";"Para o exercício dessas ocupações requer-se escolaridade de nível médio e qualificação profissional de nível técnico. O exercício pleno da ocupação de cabo da polícia militar ocorre após um a dois an";"Preservar integridade física dos cidadãos: intervenção em ¿operações de desinteligência¿, isto é, brigas familiares, brigas de rua geradas por excesso de ingestão de bebidas alcoólicas, brigas de vizinhos et";"Os servidores militares das polícias militares são regidos pelo artigo 42 da constituição federal de 1988 e pelas respectivas constituições estaduais.";"Cabos e soldados da polícia militar"
49;"0301";"Comandam unidades do corpo de bombeiros militar. Nas cidades maiores, as unidades são comandadas por tenentes-coronéis e nas cidades menores, as sub-unidades são comandadas por majores. Os coronéis ocupam cargos de comando geral, os tenent";"Definem estratégias e comandam unidades operacionais e administrativas do corpo de bombeiros, destinadas à proteção da vida e patrimônio do cidadão e ao meio ambiente. Gerenciam pessoal e recursos financeiros; controlam logística e dirigem serviços de inteligência e de prevenção, de acordo com normas da instituição.";"O acesso ao trabalho requer formação de nível superior, em academias militares. Para major e tenente-coronel requer-se pós-graduação em áreas de segurança, socorro e proteção públicos; para os coronéis hå";"";"";"Oficiais superiores do corpo de bombeiros militar"
56;"0302";"Atuam em unidade do corpo de bombeiros militar. Estão organizados em equipes de resgate, salvamento, combate a incêndio ou de produtos perigosos, sob supervisão ocasional de superiores no comando. Podem trabalhar em ambientes fechados, a cå";"Desenvolvem atividades administrativas em nível tático e operacional de bombeiro militar. Exercem funções de assessoramento e de comando de companhias de bombeiro militar, em espaço geográfico atribuído a um grupamento de bombeiros. Para tanto, administram recursos humanos, materiais e financeiros; comandam atividades de prevenção de sinistros; planejam atividades operacionais e administrativas.  Administram e coordenam atividades de emergências e de combate a incêndios. Estabelecem parcerias com instituições afins e assessoram o comando em atividades operacionais e administrativas.";"O exercício dessa ocupação requer curso de nível superior na área de segurança pública, para situações de emergência e calamidade pública. O pleno desempenho profissional ocorre após cinco anos de atuaçu";"";"";"Oficiais intermediários do corpo de bombeiros militar"
63;"0303";"Trabalham em unidades do corpo de bombeiros militar. Atuam em equipes de cooperação, sob supervisão de oficiais com patente superior. Podem trabalhar em ambientes fechados, abertos ou em veículos, e em horários irregulares. Estão s";"Comandam pelotão e postos de bombeiros; coordenam serviços operacionais; atuam na prevenção e normatização de sistemas e equipamentos de prevenção e combate a incêndio. Planejam atividades operacionais e administrativas e administram recursos humanos, financeiros e logísticos. Desenvolvem atividades de ensino e instrução e cuidam das informações e da comunicação social do corpo de bombeiros.";"Para o exercício profissional requer-se formação superior completa. Os aspirantes a tenente sem curso superior deverão ter quinze anos de experiência e aprovados em concurso interno na corporação.";"EPR : Equipamento de Proteção Respiratória";"";"Tenentes do corpo de bombeiros militar"
70;"0311";"Atuam nos órgãos da administração pública, defesa e seguridade social e estão organizados por equipes de resgate, de salvamento, de produtos perigosos ou de combate a incêndio, sob supervisão constante de profissionais de p";"Previnem sinistros e acidentes; realizam salvamento, combatem incêndios e prestam atendimento pré-hospitalar.  Controlam acidentes com produtos perigosos, comandam equipes de serviços de prontidão e chefiam guarnições.  No desenvolvimento das atividades, a rapidez e a eficácia da comunicação são cruciais, tanto para atender ocorrências como para tranquilizar vítimas e orientar a população.";"Para ingressar nessas ocupações é exigida formação de ensino médio, acrescida de curso profissionalizante com duração superior a quatrocentas horas-aula, ministrado em escolas especializadas. O pleno exercício profissio";"";"";"Subtenentes e sargentos do corpo de bombeiros militar"
